YearSeason,Acanthaster planci,Bohadschia argus,Culcita sp.,Diadema sp.,Echinothrix sp.,Halodeima atra,Lambis truncata,Tridacna maxima,Trochus niloticus,Turbo marmoratus,Total
2004-10-01,0.0,0.125,0.0,0.0,0.125,0.75,0.0,0.0,0.0,0.0,8.0
2005-03-01,0.0,0.10526315789473684,0.0,0.0,0.05263157894736842,0.5789473684210527,0.0,0.2631578947368421,0.0,0.0,19.0
2005-10-01,0.0,0.23076923076923078,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,13.0
2006-03-01,0.0,0.2077922077922078,0.0,0.3116883116883117,0.35064935064935066,0.0,0.012987012987012988,0.1038961038961039,0.012987012987012988,0.0,38.5
2006-10-01,0.0,0.11904761904761904,0.0,0.0,0.0,0.8095238095238095,0.0,0.047619047619047616,0.0,0.023809523809523808,42.0
2007-03-01,0.0,0.038461538461538464,0.0,0.4230769230769231,0.11538461538461539,0.4230769230769231,0.0,0.0,0.0,0.0,26.0
2007-10-01,0.0,0.10714285714285714,0.0,0.0,0.07142857142857142,0.7142857142857143,0.0,0.03571428571428571,0.07142857142857142,0.0,28.0
2008-03-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2008-10-01,0.0,0.0,0.0,0.15384615384615385,0.038461538461538464,0.5769230769230769,0.0,0.19230769230769232,0.038461538461538464,0.0,26.0
2009-03-01,0.0,0.16666666666666666,0.0,0.08333333333333333,0.4166666666666667,0.0,0.0,0.3333333333333333,0.0,0.0,12.0
2009-10-01,0.0,0.15384615384615385,0.0,0.0,0.0,0.7692307692307693,0.0,0.07692307692307693,0.0,0.0,26.0
2010-03-01,0.0,0.03571428571428571,0.0,0.017857142857142856,0.0,0.8571428571428571,0.0,0.05357142857142857,0.03571428571428571,0.0,56.0
2011-03-01,0.0,0.15789473684210525,0.0,0.05263157894736842,0.0,0.7368421052631579,0.0,0.0,0.05263157894736842,0.0,19.0
2012-03-01,0.1111111111111111,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.3333333333333333,0.0,9.0
2013-03-01,0.0,0.18181818181818182,0.0,0.0,0.0,0.18181818181818182,0.0,0.6363636363636364,0.0,0.0,11.0
2014-03-01,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,4.0
2015-03-01,0.0,0.0,0.0,0.0,0.125,0.25,0.0,0.5,0.125,0.0,8.0
2016-03-01,0.0,0.21428571428571427,0.0,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.21428571428571427,0.0,14.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.4444444444444444,0.0,0.0,18.0
2018-03-01,0.0,0.15384615384615385,0.0,0.0,0.0,0.46153846153846156,0.0,0.38461538461538464,0.0,0.0,13.0
2019-03-01,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.5833333333333334,0.0,0.16666666666666666,0.0,0.0,12.0
2020-03-01,0.0,0.0,0.0,0.0,0.25,0.45,0.0,0.25,0.05,0.0,20.0
2021-03-01,0.0,0.5,0.0,0.0,0.125,0.125,0.0,0.25,0.0,0.0,8.0
2022-03-01,0.0,0.018518518518518517,0.0,0.0,0.5925925925925926,0.2962962962962963,0.0,0.09259259259259259,0.0,0.0,54.0
