YearSeason,Acanthaster planci,Bohadschia argus,Culcita sp.,Diadema sp.,Echinostrephus aciculatus,Echinothrix sp.,Halodeima atra,Lambis truncata,Tridacna maxima,Trochus niloticus,Total
2004-10-01,0.0,0.20454545454545453,0.0,0.2727272727272727,0.0,0.38636363636363635,0.0,0.0,0.13636363636363635,0.0,0.7719298245614036
2005-03-01,0.0,0.2800000000000001,0.0,0.0,0.0,0.44000000000000006,0.0,0.0,0.16,0.12000000000000002,0.4385964912280701
2005-10-01,0.0,0.10714285714285715,0.0,0.0,0.0,0.5714285714285715,0.0,0.0,0.32142857142857145,0.0,0.4912280701754385
2006-03-01,0.0,0.0,0.0,0.2448979591836735,0.0,0.5918367346938775,0.0,0.030612244897959186,0.10204081632653063,0.030612244897959186,0.8596491228070174
2006-10-01,0.0,0.08771929824561404,0.0,0.0,0.0,0.8070175438596492,0.0,0.0,0.10526315789473684,0.0,1.0
2007-03-01,0.0,0.0,0.0,0.39999999999999997,0.0,0.1714285714285714,0.0857142857142857,0.0,0.3428571428571428,0.0,0.6140350877192983
2007-10-01,0.13043478260869565,0.2608695652173913,0.0,0.0,0.0,0.43478260869565216,0.0,0.0,0.17391304347826086,0.0,0.4035087719298246
2008-03-01,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.10526315789473684
2008-10-01,0.06,0.24,0.0,0.0,0.0,0.36,0.0,0.0,0.33999999999999997,0.0,0.8771929824561404
2009-03-01,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.3055555555555555,0.0,0.0,0.5277777777777778,0.0,0.631578947368421
2009-10-01,0.0,0.06122448979591837,0.0,0.3877551020408163,0.0,0.22448979591836735,0.0,0.0,0.326530612244898,0.0,0.8596491228070174
2010-03-01,0.06593406593406594,0.13186813186813187,0.0,0.26373626373626374,0.0,0.16483516483516483,0.0,0.0,0.37362637362637363,0.0,0.7982456140350878
2011-03-01,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.0,0.5263157894736842
2012-03-01,0.1935483870967742,0.0967741935483871,0.0,0.0967741935483871,0.0,0.3225806451612903,0.0,0.0,0.29032258064516125,0.0,0.543859649122807
2013-03-01,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.631578947368421
2014-03-01,0.0,0.12000000000000002,0.0,0.12000000000000002,0.0,0.24000000000000005,0.0,0.0,0.52,0.0,0.4385964912280701
2015-03-01,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3157894736842105
2016-03-01,0.0,0.1,0.0,0.1,0.0,0.4,0.0,0.0,0.4,0.0,0.5263157894736842
2017-03-01,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.0,0.4473684210526316
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1754385964912281
2019-03-01,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2631578947368421
2020-03-01,0.0,0.10843373493975905,0.07228915662650603,0.0,0.0,0.3132530120481928,0.0,0.0,0.4337349397590362,0.07228915662650603,0.7280701754385964
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.3157894736842105
2022-03-01,0.0,0.06818181818181818,0.0,0.06818181818181818,0.0,0.5227272727272727,0.06818181818181818,0.0,0.2727272727272727,0.0,0.7719298245614036
2023-03-01,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.15789473684210525
