Date,Live Coral,Algae,Turf,Calcified Algae,Others,Pavement,Rubble,Sand
1991-05-01,0.5125628140703518,0.0,0.16331658291457288,0.17085427135678394,0.005025125628140704,0.010050251256281407,0.12311557788944723,0.01507537688442211
1992-05-01,0.24060150375939848,0.0,0.3383458646616541,0.10275689223057644,0.0,0.010025062656641603,0.23057644110275688,0.07769423558897243
1993-05-01,0.2255639097744361,0.0,0.380952380952381,0.08020050125313284,0.0,0.04010025062656642,0.17543859649122806,0.09774436090225565
1994-05-01,0.28140703517587945,0.0,0.4874371859296483,0.030150753768844223,0.0025125628140703522,0.0025125628140703522,0.15829145728643218,0.03768844221105528
1995-05-01,0.30632911392405066,0.0,0.3493670886075949,0.11645569620253166,0.0,0.0,0.18227848101265823,0.04556962025316456
1996-05-01,0.314070351758794,0.0,0.41457286432160806,0.09547738693467338,0.0,0.0025125628140703522,0.11055276381909548,0.0628140703517588
1997-05-01,0.375,0.0,0.335,0.0775,0.0,0.0,0.1725,0.04
1998-05-01,0.4275,0.0,0.29,0.0675,0.0,0.0,0.2,0.015
1999-05-01,0.4225,0.0,0.31,0.045,0.0,0.0,0.2025,0.02
2000-05-01,0.41604010025062654,0.0,0.2105263157894737,0.04260651629072682,0.0,0.13784461152882208,0.17543859649122806,0.01754385964912281
2001-05-01,0.5000000000000001,0.0,0.24250000000000002,0.07500000000000001,0.0,0.010000000000000002,0.15750000000000003,0.015000000000000001
2002-05-01,0.49494949494949503,0.0,0.2272727272727273,0.07070707070707072,0.0,0.04797979797979798,0.148989898989899,0.010101010101010102
2003-05-01,0.44974874371859297,0.0,0.2135678391959799,0.05527638190954774,0.0,0.07537688442211055,0.1934673366834171,0.01256281407035176
2004-05-01,0.5152284263959391,0.0,0.2411167512690356,0.06598984771573606,0.0,0.038071065989847726,0.13197969543147212,0.007614213197969544
2005-05-01,0.4924623115577889,0.0,0.17839195979899497,0.0,0.0,0.2035175879396985,0.12562814070351758,0.0
2006-05-01,0.4696969696969697,0.0,0.17676767676767677,0.0,0.0,0.1994949494949495,0.14393939393939392,0.010101010101010102
2007-05-01,0.21608040201005024,0.0,0.41708542713567837,0.0,0.0,0.21105527638190955,0.15577889447236182,0.0
2008-05-01,0.06476683937823835,0.0,0.5854922279792747,0.18652849740932645,0.0,0.023316062176165806,0.1295336787564767,0.010362694300518137
2009-05-01,0.025252525252525256,0.0,0.48484848484848486,0.26262626262626265,0.0,0.02777777777777778,0.18686868686868688,0.012626262626262628
2010-05-01,0.005,0.0,0.485,0.1975,0.0,0.01,0.255,0.0475
2011-05-01,0.0075,0.03,0.51,0.165,0.0,0.0075,0.2575,0.0225
2012-05-01,0.030075187969924817,0.02255639097744361,0.5087719298245614,0.11528822055137847,0.0,0.0,0.31077694235588976,0.012531328320802008
2013-05-01,0.05764411027568923,0.09022556390977443,0.393483709273183,0.2005012531328321,0.0,0.0025062656641604013,0.2255639097744361,0.030075187969924814
2014-05-01,0.17,0.05,0.44,0.1175,0.0,0.0,0.2125,0.01
2015-05-01,0.23,0.11,0.29,0.14,0.0,0.0,0.22,0.01
2016-05-01,0.3375,0.0525,0.22,0.1375,0.0,0.0,0.2325,0.02
2017-05-01,0.4225,0.0525,0.2525,0.125,0.0,0.0,0.14,0.0075
2018-05-01,0.4825,0.0475,0.13,0.19,0.0,0.0075,0.125,0.0175
2019-05-01,0.4674999999999999,0.042499999999999996,0.22749999999999995,0.09749999999999998,0.0,0.0,0.12749999999999997,0.03749999999999999
2020-05-01,0.36000000000000004,0.07000000000000002,0.25500000000000006,0.17250000000000001,0.0025000000000000005,0.0,0.12250000000000001,0.017500000000000005
2021-05-01,0.2825,0.0425,0.39,0.14,0.0,0.0025,0.1225,0.02
2022-05-01,0.235,0.11,0.32,0.15,0.0,0.02,0.1475,0.0175
2023-05-01,0.17500000000000002,0.14500000000000002,0.44250000000000006,0.09500000000000001,0.0,0.0,0.13500000000000004,0.007500000000000001
