YearSeason,Algae,Dead Coral,Live Coral,Mud,Others,Pavement,Rubble,Sand,Turf
2004-10-01,0.02666666666666667,0.0,0.15333333333333335,0.0,0.0,0.18666666666666668,0.24666666666666667,0.3866666666666667,0.0
2005-03-01,0.006666666666666667,0.006666666666666667,0.21333333333333335,0.0,0.0,0.14,0.21333333333333335,0.42,0.0
2005-10-01,0.013666666666666667,0.09366666666666666,0.27466666666666667,0.0,0.006666666666666667,0.148,0.03366666666666667,0.42933333333333334,0.0
2006-03-01,0.06613333333333334,0.006666666666666667,0.3636333333333333,0.0,0.0,0.19920000000000002,0.17843333333333333,0.18586666666666665,0.0
2006-10-01,0.02,0.0,0.26,0.0,0.0,0.16,0.26,0.3,0.0
2007-03-01,0.013333333333333334,0.0,0.25333333333333335,0.0,0.0,0.14,0.04666666666666667,0.48666666666666664,0.06
2007-10-01,0.006666666666666667,0.006666666666666667,0.13999999999999999,0.0,0.0,0.14,0.21333333333333335,0.48,0.013333333333333334
2008-03-01,0.0,0.0,0.18666666666666668,0.0,0.0,0.08,0.09333333333333334,0.64,0.0
2008-10-01,0.0,0.04,0.24,0.0,0.0,0.09999999999999999,0.08,0.49333333333333335,0.04666666666666666
2009-03-01,0.060000000000000005,0.006666666666666667,0.24666666666666667,0.0,0.0,0.15333333333333332,0.12,0.3866666666666667,0.02666666666666667
2009-10-01,0.006666666666666667,0.0,0.30000000000000004,0.0,0.006666666666666667,0.24,0.16666666666666666,0.28,0.0
2010-03-01,0.0,0.0,0.21333333333333335,0.0,0.006666666666666667,0.2733333333333334,0.21333333333333335,0.24666666666666667,0.04666666666666667
2011-03-01,0.0,0.0,0.14,0.0,0.0,0.5333333333333333,0.19333333333333336,0.08,0.05333333333333334
2012-03-01,0.04666666666666667,0.0,0.19999999999999998,0.0,0.0,0.25333333333333335,0.07333333333333333,0.3866666666666667,0.04
2013-03-01,0.05333333333333334,0.0,0.15333333333333335,0.0,0.0,0.15333333333333335,0.10000000000000002,0.38000000000000006,0.16
2014-03-01,0.013333333333333334,0.0,0.07333333333333333,0.0,0.0,0.25333333333333335,0.22666666666666666,0.35333333333333333,0.08
2015-03-01,0.04,0.0,0.11333333333333334,0.0,0.0,0.24,0.04666666666666667,0.5133333333333333,0.04666666666666667
2016-03-01,0.08666666666666667,0.0,0.14,0.0,0.0,0.22666666666666666,0.08666666666666667,0.42,0.04
2017-03-01,0.10666666666666667,0.0,0.21333333333333335,0.0,0.006666666666666667,0.3,0.04,0.32,0.013333333333333334
2018-03-01,0.13333333333333333,0.0,0.16666666666666666,0.0,0.0,0.19333333333333336,0.06,0.43333333333333335,0.013333333333333334
2019-03-01,0.05333333333333334,0.0,0.20666666666666667,0.0,0.0,0.21333333333333335,0.04,0.47333333333333333,0.013333333333333334
2020-03-01,0.19333333333333333,0.11333333333333333,0.19333333333333336,0.0,0.0,0.0,0.08666666666666667,0.4000000000000001,0.013333333333333334
2021-03-01,0.08,0.16,0.21333333333333335,0.0,0.0,0.0,0.08,0.46666666666666673,0.0
2022-03-01,0.06666666666666667,0.006666666666666667,0.26666666666666666,0.0,0.0,0.14,0.08,0.44,0.0
