Date,C,Co,H,O,P,Pi,Total,Shannon,Pielou,Brillouin,Simpson
1983-03-01,0.1203544072385624,0.0627936037766412,0.3405196352949343,0.3670249693379306,0.05697938120473,0.052328003147201,0.35728063126403387,0.8638058882792389,0.572920478108081,0.0,0.0
1983-10-01,0.102997599238194,0.0377576795318291,0.2352853866478301,0.4448839631793776,0.1309206496810161,0.048154721721753,0.48314809449875584,0.8579070549861679,0.5690080685767239,0.0,0.0
1987-03-01,0.1435582260488367,0.0781754981958913,0.2731107715075431,0.3472025509257022,0.1034864176937414,0.0544665356282849,0.4004614101451015,0.929086585822569,0.6162179931577392,0.0,0.0
1987-10-01,0.1374148544626908,0.0853066388680815,0.1916827760678222,0.3181557721671121,0.2204848512282722,0.0469551072060209,0.4748461338780529,0.9569599073828322,0.6347050131369361,0.0,0.0
1988-03-01,0.1018301292537042,0.0562769990884711,0.2109835730532486,0.2692468191683717,0.3288342299679294,0.0328282494682748,0.5647570039281322,0.9064081927394827,0.6011765168443888,1.0,0.0
1988-10-01,0.1020383613949174,0.0721788698017515,0.1318241258483471,0.5139169677191538,0.1459797366776998,0.0340619385581299,0.6723731506798255,0.8328294622211925,0.5523753196783221,1.0,0.0
1989-03-01,0.0991412645474263,0.0875594841056977,0.1268148424563285,0.4833825127690837,0.1715082678359027,0.031593628285561,0.6443587011234115,0.85576462306076,0.5675870975696102,1.0,0.0
1989-10-01,0.0827565596416319,0.0916108438752833,0.1776226842946935,0.5424952986453104,0.0346580847404279,0.0708565288026528,0.5664066910824007,0.7979118677848307,0.529216175742969,1.0,0.0
1990-03-01,0.0985440800393684,0.0992479663253639,0.2260045696655785,0.3518396303086273,0.1794910029288496,0.0448727507322124,0.4131679808209097,0.9383876339340825,0.6223869264832226,1.0,0.0
1990-10-01,0.0937988773140224,0.2012802408910231,0.1893262351682295,0.3371228069000935,0.1376782763605442,0.0407935633660871,0.5940955131050052,0.9506081372689387,0.6304921926180418,1.0,0.0
1991-03-01,0.0795787062208264,0.1817649994362058,0.2418308461266225,0.3399287944741475,0.0922389549377761,0.0646576988044214,0.438544363420939,0.9439119607596642,0.626050944069908,1.0,0.0
1991-05-31,0.1331111546755538,0.0802457034568385,0.2336361062101113,0.5245376723518265,0.017316865973992,0.0111524973316778,0.3450455461022758,0.7403984290897528,0.4910703061188758,1.0,0.0
1991-10-01,0.0670525177981844,0.1701227790902229,0.1821289112088398,0.3718455500571963,0.1209013369552079,0.0879489048903486,0.6093830858441306,0.9506058654037669,0.6304906858002508,1.0,0.0
1992-03-01,0.1201123898327468,0.1583226877985058,0.1691053360802266,0.3160671078939291,0.1807232599330666,0.0556692184615249,0.45058127644221807,0.9804263376522186,0.6502691562295573,1.0,0.0
1992-05-31,0.1741536080479783,0.0448636099825885,0.1750628748307216,0.5490423679628554,0.0409170052234474,0.0159605339524085,0.3884947238673601,0.7435084014161041,0.4931329996664568,1.0,0.0
1992-10-01,0.0769096687081042,0.1534810870865411,0.1510363611461572,0.3870224118485497,0.1383655254795333,0.0931849457311142,0.44138803828424505,0.9522586305488896,0.6315868846222227,1.0,0.0
1993-03-01,0.110076648156286,0.1177534944021538,0.2107107929292343,0.3687397315947415,0.1594918617248974,0.0332274711926869,0.3938622750482792,0.9313064642015051,0.6176903306347797,1.0,0.0
1993-05-31,0.1678196208209565,0.036661948525747,0.1713482586072845,0.5854149638165108,0.0317577400769522,0.0069974681525487,0.3770029762799507,0.6886839195912672,0.45677058449273716,1.0,0.0
1993-10-01,0.1076127936623651,0.1708160406563845,0.175479884416542,0.300644899035832,0.1901345214449041,0.0553118607839721,0.5047567384908805,0.9823350033028189,0.6515350814240113,1.0,0.0
1994-03-01,0.1595527151456655,0.1075276204208181,0.1644305594943003,0.3240688914525367,0.1386199443979222,0.1058002690887568,0.44896988835152,0.9951667342666258,0.6600457451489175,1.0,0.0
1994-05-31,0.1772731312772198,0.0344858234823571,0.1483868100613279,0.5885550913992831,0.0393594643439101,0.0119396794359019,0.5073655412921264,0.6988165426196902,0.46349106105894505,1.0,0.0
1994-10-01,0.1563000089849108,0.0957433957176278,0.1890617917739757,0.3064680855352841,0.1235049178139697,0.1289218001742316,0.5752319247435981,1.0,0.6632514154880076,1.0,0.0
1995-03-01,0.1026876862876778,0.1093481961145717,0.1703012726206241,0.3438041931008995,0.1559676279402039,0.1178910239360227,0.5673829197049409,0.9834636454852985,0.6522836549491203,1.0,0.0
1995-05-31,0.185510148935832,0.0463974059415383,0.1348211021569469,0.564684564398455,0.0600988666889196,0.0084879118783081,0.47284520337912994,0.7333489648740815,0.4863947389993997,1.0,0.0
1995-10-01,0.0609990508396968,0.0890779790040017,0.1078894776756542,0.5785394378490788,0.1244878588565241,0.0390061957750442,0.7509078463131804,0.7750284461560685,0.5140387139564835,1.0,0.0
1996-03-01,0.0743920700708028,0.1225109546102563,0.11798237537147,0.3418251803026614,0.3184272332638482,0.0248621863809611,0.5068879199021804,0.889980987377532,0.5902811496355627,1.0,0.0
1996-05-31,0.1182232793075546,0.0507687026457102,0.1180025991221832,0.6602751146310963,0.045092317877547,0.0076379864159085,0.613038511258756,0.6456621327373598,0.4282363234650598,1.0,0.0
1996-10-01,0.0652343729792088,0.1653362855206592,0.1337640905728312,0.3531473616262781,0.2306890678824895,0.0518288214185329,0.5723451409922645,0.935598418876896,0.6205369756484431,1.0,0.0
1997-03-01,0.0619444333572726,0.1540683421329545,0.1433728072776306,0.3012392207738255,0.2711502858300984,0.0682249106282183,0.5541528082406875,0.9550605428743343,0.6334452569381471,1.0,0.0
1997-05-31,0.1693965850266553,0.0568904684642921,0.1364830410260372,0.5550490612686394,0.0705915681578201,0.0115892760565556,0.5836665363917867,0.7589521046160368,0.5033760576741888,1.0,0.0
1997-10-01,0.0228504002188224,0.0932871583758638,0.0521771170772041,0.4060446875247718,0.3951041928745478,0.0305364439287899,1.0,0.758896577399184,0.5033392291690131,1.0,0.0
1998-03-01,0.0478888276830295,0.0891883011693632,0.1070259614032359,0.3842353966603092,0.3423679948114266,0.0292935182726354,0.7581309506972987,0.8388421799548652,0.5563632632261104,1.0,0.0
1998-05-31,0.0770968952408921,0.0389359306935539,0.0805475339761473,0.7709934250240648,0.0294731861713409,0.0029530288940009,0.9213390253434748,0.49486511126612576,0.3282199855228883,1.0,0.0
1998-10-01,0.0323373666636978,0.1248152054595553,0.103522045408672,0.3105939074981459,0.4130314491259596,0.0157000258439692,0.7409498007265968,0.8160403398725095,0.5412399105157567,1.0,0.0
1999-03-01,0.0423621732186225,0.0930622979913866,0.1046522951663517,0.1919862037494222,0.5368564936150512,0.0310805362591657,0.8109475225125331,0.7872823060820751,0.5221661038975991,1.0,0.0
1999-05-31,0.1621106323973654,0.0585846580498192,0.149965334521864,0.5421433169910365,0.0802258208290001,0.0069702372109146,0.6070709196404414,0.7667897071724715,0.5085743586637765,1.0,0.0
1999-10-01,0.0441828003486291,0.0756023698489178,0.0959044799276448,0.3400426590537995,0.3985282570624133,0.0457394337585953,0.7868348465919132,0.8354842908429477,0.5541361385195793,1.0,0.0
2000-03-01,0.0408269900374179,0.0829478586920728,0.0829588002378704,0.4867618232887253,0.2650589469483529,0.0414455807955606,0.8229016946812006,0.8037096593305779,0.5330615691923901,1.0,0.0
2000-05-31,0.1063834817558515,0.0447080148159823,0.1236346441799984,0.6637166049334069,0.0521790527228308,0.00937820159193,0.95368728016114,0.6449150324709295,0.42774080815583837,1.0,0.0
