YearSeason,Acanthaster planci,Bohadschia argus,Culcita sp.,Diadema sp.,Echinothrix sp.,Halodeima atra,Lambis truncata,Tridacna maxima,Trochus niloticus,Turbo marmoratus,Total
2004-10-01,0.0,0.2,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.2222222222222222
2005-03-01,0.0,0.19672131147540986,0.0,0.0,0.09836065573770493,0.5409836065573771,0.0,0.1639344262295082,0.0,0.0,0.45185185185185184
2005-10-01,0.0,0.23076923076923078,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.28888888888888886
2006-03-01,0.0,0.18823529411764706,0.0,0.2823529411764706,0.31764705882352945,0.0,0.03529411764705882,0.1411764705882353,0.03529411764705882,0.0,0.6296296296296297
2006-10-01,0.0,0.11111111111111112,0.0,0.0,0.0,0.7555555555555556,0.0,0.06666666666666667,0.0,0.06666666666666667,0.6666666666666666
2007-03-01,0.0,0.08823529411764706,0.0,0.3235294117647059,0.2647058823529412,0.3235294117647059,0.0,0.0,0.0,0.0,0.5037037037037037
2007-10-01,0.0,0.0857142857142857,0.0,0.0,0.1714285714285714,0.5714285714285714,0.0,0.0857142857142857,0.0857142857142857,0.0,0.5185185185185186
2008-03-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08888888888888889
2008-10-01,0.0,0.0,0.0,0.12307692307692307,0.0923076923076923,0.4615384615384615,0.0,0.23076923076923075,0.0923076923076923,0.0,0.4814814814814815
2009-03-01,0.0,0.2,0.0,0.2,0.33333333333333337,0.0,0.0,0.26666666666666666,0.0,0.0,0.2222222222222222
2009-10-01,0.0,0.18749999999999997,0.0,0.0,0.0,0.625,0.0,0.18749999999999997,0.0,0.0,0.47407407407407415
2010-03-01,0.0,0.08888888888888889,0.0,0.044444444444444446,0.0,0.7111111111111111,0.0,0.06666666666666667,0.08888888888888889,0.0,1.0
2011-03-01,0.0,0.18367346938775508,0.0,0.12244897959183672,0.0,0.5714285714285714,0.0,0.0,0.12244897959183672,0.0,0.36296296296296304
2012-03-01,0.15384615384615385,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.15384615384615385,0.46153846153846156,0.0,0.28888888888888886
2013-03-01,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.7,0.0,0.0,0.4444444444444444
2014-03-01,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.17777777777777778
2015-03-01,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.2,0.0,0.2222222222222222
2016-03-01,0.0,0.21428571428571427,0.0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.21428571428571427,0.0,0.3111111111111111
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.6521739130434783,0.0,0.34782608695652173,0.0,0.0,0.34074074074074073
2018-03-01,0.0,0.1764705882352941,0.0,0.0,0.0,0.5294117647058824,0.0,0.29411764705882354,0.0,0.0,0.2518518518518519
2019-03-01,0.0,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.3181818181818182,0.0,0.2727272727272727,0.0,0.0,0.32592592592592595
2020-03-01,0.0,0.0,0.0,0.0,0.2777777777777778,0.3333333333333333,0.0,0.2777777777777778,0.1111111111111111,0.0,0.4
2021-03-01,0.0,0.5,0.0,0.0,0.125,0.125,0.0,0.25,0.0,0.0,0.35555555555555557
2022-03-01,0.0,0.05357142857142857,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.08928571428571429,0.0,0.0,0.8296296296296297
